Name,Salary,Position,Age,Block,Steal,Assist,Two Points,Three Points
Isaiah Taylor,1312611,PG,22,0.25,0.25,0.75,0.25,0.0
Isaiah Thomas,6261395,PG,27,0.17105263157894737,0.9210526315789473,5.907894736842105,5.75,3.223684210526316
Isaiah Whitehead,1312611,PG,21,0.4931506849315068,0.5753424657534246,2.6301369863013697,2.191780821917808,0.6027397260273972
Ish Smith,6000000,PG,28,0.4074074074074074,0.7530864197530864,5.160493827160494,3.7160493827160495,0.345679012345679
Ivica Zubac,1312611,C,19,0.868421052631579,0.3684210526315789,0.7894736842105263,3.3157894736842106,0.0
J.J. Barea,3903900,PG,32,0.02857142857142857,0.4,5.514285714285714,2.5428571428571427,1.5142857142857142
J.J. Redick,23000000,SG,32,0.16666666666666666,0.7051282051282052,1.4102564102564104,2.5,2.576923076923077
J.R. Smith,13760000,SG,31,0.2682926829268293,0.975609756097561,1.5121951219512195,0.6829268292682927,2.317073170731707
Jabari Parker,6782392,PF,21,0.43137254901960786,1.0,2.784313725490196,6.549019607843137,1.2745098039215685
Jae Crowder,6796117,SF,26,0.3194444444444444,1.0,2.1527777777777777,2.4444444444444446,2.1805555555555554
Jahlil Okafor,4995120,C,21,0.98,0.4,1.16,4.84,0.0
Jake Layman,1312611,SF,22,0.08571428571428572,0.2571428571428571,0.3142857142857143,0.37142857142857144,0.37142857142857144
Jakob Poeltl,2825640,C,21,0.37037037037037035,0.3148148148148148,0.2222222222222222,1.2407407407407407,0.0
Jamal Crawford,10942762,SG,36,0.17073170731707318,0.7195121951219512,2.597560975609756,2.9634146341463414,1.4146341463414633
Jamal Murray,3355320,SG,19,0.2926829268292683,0.6341463414634146,2.073170731707317,2.1951219512195124,1.4024390243902438
Jameer Nelson,4736050,PG,34,0.10666666666666667,0.7066666666666667,5.133333333333334,2.16,1.4133333333333333
James Ennis,3028410,SF,26,0.296875,0.71875,1.0,1.484375,0.796875
James Harden,28299399,PG,27,0.4567901234567901,1.4814814814814814,11.185185185185185,5.08641975308642,3.234567901234568
James Johnson,13954000,PF,29,1.131578947368421,1.0,3.6315789473684212,3.6973684210526314,1.144736842105263
JaMychal Green,8533333,PF,26,0.44155844155844154,0.5974025974025974,1.0909090909090908,2.5324675324675323,0.7142857142857143
Jared Dudley,10000000,PF,31,0.25,0.65625,1.890625,1.25,1.203125
Jarell Eddie,17224,SF,25,0.0,0.2,0.0,0.4,0.8
Jarell Martin,1471382,PF,22,0.21428571428571427,0.40476190476190477,0.19047619047619047,1.1666666666666667,0.21428571428571427
Jarrett Jack,2328652,PG,33,0.0,1.0,2.5,1.0,0.0
Jason Smith,5225000,C,30,0.7432432432432432,0.28378378378378377,0.5,1.8513513513513513,0.5
Jason Terry,2328652,SG,39,0.2702702702702703,0.6081081081081081,1.3243243243243243,0.43243243243243246,0.9864864864864865
JaVale McGee,2116955,C,29,0.8701298701298701,0.24675324675324675,0.22077922077922077,2.7012987012987013,0.0
Jaylen Brown,4956480,SF,20,0.23076923076923078,0.44871794871794873,0.8205128205128205,1.8717948717948718,0.5897435897435898
Jeff Green,2116955,PF,30,0.18840579710144928,0.5362318840579711,1.173913043478261,2.420289855072464,0.7681159420289855
Jeff Teague,19000000,PG,28,0.3902439024390244,1.2195121951219512,7.7926829268292686,3.8048780487804876,1.0975609756097562
Jeff Withey,1577320,C,26,0.6274509803921569,0.3137254901960784,0.13725490196078433,1.0784313725490196,0.0
Jerami Grant,1524305,SF,22,0.9875,0.4125,0.575,1.3625,0.5375
Jeremy Lamb,7000000,SG,24,0.3709677419354839,0.43548387096774194,1.2096774193548387,2.9838709677419355,0.6612903225806451
Jeremy Lin,12000000,PG,28,0.3888888888888889,1.1388888888888888,5.111111111111111,3.25,1.6111111111111112
Jerian Grant,1713840,PG,24,0.12698412698412698,0.746031746031746,1.9047619047619047,1.253968253968254,0.7777777777777778
Jerryd Bayless,9000000,PG,28,0.0,0.0,4.333333333333333,3.0,0.6666666666666666
Jimmy Butler,19301070,SF,27,0.42105263157894735,1.881578947368421,5.4868421052631575,6.302631578947368,1.1973684210526316
Joakim Noah,17765000,C,31,0.8043478260869565,0.6521739130434783,2.239130434782609,2.152173913043478,0.0
Jodie Meeks,3290000,SG,29,0.1111111111111111,0.9444444444444444,1.25,1.3055555555555556,1.5555555555555556
Joe Harris,1524305,SG,25,0.15384615384615385,0.5769230769230769,1.0384615384615385,1.3269230769230769,1.6346153846153846
Joe Ingles,14136364,SF,29,0.0975609756097561,1.170731707317073,2.731707317073171,0.9878048780487805,1.5
Joe Johnson,10505000,SF,35,0.23076923076923078,0.46153846153846156,1.8461538461538463,2.141025641025641,1.358974358974359
Joe Young,1471382,PG,24,0.0,0.12121212121212122,0.45454545454545453,0.6363636363636364,0.15151515151515152
Joel Bolomboy,1312611,PF,23,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.6666666666666666,0.08333333333333333
Joel Embiid,6100266,C,22,2.4516129032258065,0.8709677419354839,2.129032258064516,5.290322580645161,1.1612903225806452
